,pod,job,size,start_time,finished_time,elapsed_time,experiment
0,lmp-0-0-size-2-2-2-2-0-jnwpd,lmp-0-0-size-2-2-2-2,2,2024-04-14T19:34:11Z,2024-04-14T19:35:30Z,79,autoscaling
1,lmp-0-0-size-2-2-2-2-1-5pjrv,lmp-0-0-size-2-2-2-2,2,2024-04-14T19:34:01Z,2024-04-14T19:35:28Z,87,autoscaling
2,lmp-0-3-size-4-2-2-2-0-z5brm,lmp-0-3-size-4-2-2-2,4,2024-04-14T19:34:04Z,2024-04-14T19:36:48Z,164,autoscaling
3,lmp-0-3-size-4-2-2-2-1-t9hcb,lmp-0-3-size-4-2-2-2,4,2024-04-14T19:35:21Z,2024-04-14T19:36:48Z,87,autoscaling
4,lmp-0-3-size-4-2-2-2-2-kkqkm,lmp-0-3-size-4-2-2-2,4,2024-04-14T19:36:18Z,2024-04-14T19:36:48Z,30,autoscaling
5,lmp-0-3-size-4-2-2-2-3-7f4tk,lmp-0-3-size-4-2-2-2,4,2024-04-14T19:33:58Z,2024-04-14T19:36:48Z,170,autoscaling
6,lmp-0-6-size-6-2-2-2-0-dds5m,lmp-0-6-size-6-2-2-2,6,2024-04-14T19:34:01Z,2024-04-14T19:36:12Z,131,autoscaling
7,lmp-0-6-size-6-2-2-2-1-gj8cx,lmp-0-6-size-6-2-2-2,6,2024-04-14T19:34:00Z,2024-04-14T19:36:12Z,132,autoscaling
8,lmp-0-6-size-6-2-2-2-2-27rjh,lmp-0-6-size-6-2-2-2,6,2024-04-14T19:35:41Z,2024-04-14T19:36:12Z,31,autoscaling
9,lmp-0-6-size-6-2-2-2-3-pxkns,lmp-0-6-size-6-2-2-2,6,2024-04-14T19:34:00Z,2024-04-14T19:36:12Z,132,autoscaling
10,lmp-0-6-size-6-2-2-2-4-qz5jn,lmp-0-6-size-6-2-2-2,6,2024-04-14T19:33:51Z,2024-04-14T19:36:12Z,141,autoscaling
11,lmp-0-6-size-6-2-2-2-5-5cp99,lmp-0-6-size-6-2-2-2,6,2024-04-14T19:34:00Z,2024-04-14T19:36:12Z,132,autoscaling
12,lmp-0-9-size-8-2-2-2-0-4mc5n,lmp-0-9-size-8-2-2-2,8,2024-04-14T19:34:03Z,2024-04-14T19:36:51Z,168,autoscaling
13,lmp-0-9-size-8-2-2-2-1-psxh8,lmp-0-9-size-8-2-2-2,8,2024-04-14T19:33:55Z,2024-04-14T19:36:51Z,176,autoscaling
14,lmp-0-9-size-8-2-2-2-2-q2s2n,lmp-0-9-size-8-2-2-2,8,2024-04-14T19:34:00Z,2024-04-14T19:36:51Z,171,autoscaling
15,lmp-0-9-size-8-2-2-2-3-m9nn4,lmp-0-9-size-8-2-2-2,8,2024-04-14T19:33:56Z,2024-04-14T19:36:51Z,175,autoscaling
16,lmp-0-9-size-8-2-2-2-4-fdq9v,lmp-0-9-size-8-2-2-2,8,2024-04-14T19:36:18Z,2024-04-14T19:36:51Z,33,autoscaling
17,lmp-0-9-size-8-2-2-2-5-js8kv,lmp-0-9-size-8-2-2-2,8,2024-04-14T19:33:55Z,2024-04-14T19:36:51Z,176,autoscaling
18,lmp-0-9-size-8-2-2-2-6-cs856,lmp-0-9-size-8-2-2-2,8,2024-04-14T19:33:56Z,2024-04-14T19:36:51Z,175,autoscaling
19,lmp-0-9-size-8-2-2-2-7-xzpcs,lmp-0-9-size-8-2-2-2,8,2024-04-14T19:33:56Z,2024-04-14T19:36:51Z,175,autoscaling
20,lmp-1-1-size-2-2-2-2-0-zv95l,lmp-1-1-size-2-2-2-2,2,2024-04-14T19:33:58Z,2024-04-14T19:35:19Z,81,autoscaling
21,lmp-1-1-size-2-2-2-2-1-cpj67,lmp-1-1-size-2-2-2-2,2,2024-04-14T19:34:02Z,2024-04-14T19:35:18Z,76,autoscaling
22,lmp-1-10-size-8-2-2-2-0-zzbdc,lmp-1-10-size-8-2-2-2,8,2024-04-14T19:33:51Z,2024-04-14T19:36:48Z,177,autoscaling
23,lmp-1-10-size-8-2-2-2-1-xrdpd,lmp-1-10-size-8-2-2-2,8,2024-04-14T19:34:04Z,2024-04-14T19:36:48Z,164,autoscaling
24,lmp-1-10-size-8-2-2-2-2-jjj6f,lmp-1-10-size-8-2-2-2,8,2024-04-14T19:33:56Z,2024-04-14T19:36:48Z,172,autoscaling
25,lmp-1-10-size-8-2-2-2-3-qzfd9,lmp-1-10-size-8-2-2-2,8,2024-04-14T19:33:56Z,2024-04-14T19:36:48Z,172,autoscaling
26,lmp-1-10-size-8-2-2-2-4-pmstz,lmp-1-10-size-8-2-2-2,8,2024-04-14T19:34:01Z,2024-04-14T19:36:48Z,167,autoscaling
27,lmp-1-10-size-8-2-2-2-5-l5d4s,lmp-1-10-size-8-2-2-2,8,2024-04-14T19:36:18Z,2024-04-14T19:36:48Z,30,autoscaling
