,node,creation_time,noticed_disappeared_time,elapsed_time
0,gke-ensemble-cluster-default-pool-bf689d09-3sqt,2024-04-14 20:16:06,2024-04-14 20:20:16.476294,250
20,gke-ensemble-cluster-default-pool-bf689d09-vpb3,2024-04-14 20:16:06,2024-04-14 20:20:16.476294,250
17,gke-ensemble-cluster-default-pool-bf689d09-sk73,2024-04-14 20:16:06,2024-04-14 20:20:16.476294,250
13,gke-ensemble-cluster-default-pool-bf689d09-mftr,2024-04-14 20:16:06,2024-04-14 20:20:16.476294,250
10,gke-ensemble-cluster-default-pool-bf689d09-jkx8,2024-04-14 20:16:06,2024-04-14 20:20:16.476294,250
6,gke-ensemble-cluster-default-pool-bf689d09-fqjr,2024-04-14 20:16:06,2024-04-14 20:20:16.476294,250
11,gke-ensemble-cluster-default-pool-bf689d09-k13l,2024-04-14 20:16:06,2024-04-14 20:20:16.476294,250
2,gke-ensemble-cluster-default-pool-bf689d09-5jqt,2024-04-14 20:16:06,2024-04-14 20:20:16.476294,250
7,gke-ensemble-cluster-default-pool-bf689d09-ftdt,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
1,gke-ensemble-cluster-default-pool-bf689d09-44r1,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
18,gke-ensemble-cluster-default-pool-bf689d09-sn7k,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
5,gke-ensemble-cluster-default-pool-bf689d09-bb34,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
15,gke-ensemble-cluster-default-pool-bf689d09-px9x,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
22,gke-ensemble-cluster-default-pool-bf689d09-wj1p,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
4,gke-ensemble-cluster-default-pool-bf689d09-7qcj,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
9,gke-ensemble-cluster-default-pool-bf689d09-g475,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
8,gke-ensemble-cluster-default-pool-bf689d09-fxwv,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
12,gke-ensemble-cluster-default-pool-bf689d09-k2f8,2024-04-14 20:16:07,2024-04-14 20:20:16.476294,249
3,gke-ensemble-cluster-default-pool-bf689d09-7lv2,2024-04-14 20:16:08,2024-04-14 20:20:16.476294,248
14,gke-ensemble-cluster-default-pool-bf689d09-p986,2024-04-14 20:16:08,2024-04-14 20:20:16.476294,248
16,gke-ensemble-cluster-default-pool-bf689d09-rlc7,2024-04-14 20:16:08,2024-04-14 20:20:16.476294,248
19,gke-ensemble-cluster-default-pool-bf689d09-tp12,2024-04-14 20:16:08,2024-04-14 20:20:16.476294,248
21,gke-ensemble-cluster-default-pool-bf689d09-vrx6,2024-04-14 20:16:08,2024-04-14 20:20:16.476294,248
23,gke-ensemble-cluster-default-pool-bf689d09-xl67,2024-04-14 20:16:08,2024-04-14 20:20:16.476294,248
